,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,56000,3,0,0.0,56100,56500,55700,11887367,665540710500,334307822800000,5969782550,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,212000,1,2000,0.95,211500,216000,211000,2490051,531382476000,154336501380000,728002365,STK
2,207940,KR7207940008,삼성바이오로직스,KOSPI,,1185000,1,5000,0.42,1186000,1186000,1165000,46171,54384901000,84341190000000,71174000,STK
3,373220,KR7373220003,LG에너지솔루션,KOSPI,,353500,1,500,0.14,354500,362000,352500,165481,58929282000,82719000000000,234000000,STK
4,005380,KR7005380001,현대차,KOSPI,,199800,2,-6200,-3.01,201000,202500,199500,890126,178331570100,41841354961800,209416191,STK
5,068270,KR7068270008,셀트리온,KOSPI,,181500,1,700,0.39,181000,181500,179200,356699,64404313300,38860623598500,214108119,STK
6,005935,KR7005931001,삼성전자우,KOSPI,,45750,2,-200,-0.44,45950,46300,45700,679030,31144932600,37647066525000,822886700,STK
7,000270,KR7000270009,기아,KOSPI,,94300,2,-700,-0.74,94300,94900,93100,1046176,98368418500,37500529197600,397672632,STK
8,035420,KR7035420009,NAVER,KOSPI,,221000,3,0,0.0,221500,224000,219500,611966,135366173500,35014578768000,158437008,STK
9,105560,KR7105560007,KB금융,KOSPI,,81000,1,1300,1.63,79200,81100,77600,2648726,210631092550,31875802263000,393528423,STK
10,329180,KR7329180004,HD현대중공업,KOSPI,,326500,2,-8000,-2.39,336000,336000,323000,458597,150406528000,28984422374000,88773116,STK
11,012450,KR7012450003,한화에어로스페이스,KOSPI,,577000,1,44000,8.26,533000,590000,528000,1018301,579935126196,26300329897000,45581161,STK
12,055550,KR7055550008,신한지주,KOSPI,,48450,1,100,0.21,48300,48750,47950,879997,42651990800,24391925996250,503445325,STK
13,042660,KR7042660001,한화오션,KOSPI,,77900,3,0,0.0,76000,80900,75900,6454450,503870971800,23869603392600,306413394,STK
14,028260,KR7028260008,삼성물산,KOSPI,,130400,1,2800,2.19,129700,131900,128500,467714,61172125000,23183047552800,177784107,STK
15,012330,KR7012330007,현대모비스,KOSPI,,245500,2,-4000,-1.6,250000,250000,243000,155184,38002162500,22830295577000,92995094,STK
16,138040,KR7138040001,메리츠금융지주,KOSPI,,119500,1,1800,1.53,117700,119500,117100,190327,22480817600,22791053623000,190720114,STK
