,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,54300,1,800,1.5,53400,54400,53100,18172985,975208153200,324159192465000,5969782550,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,225500,1,7500,3.44,221500,227000,217000,5873554,1311614656250,164164533307500,728002365,STK
2,373220,KR7373220003,LG에너지솔루션,KOSPI,,360000,1,5500,1.55,356000,363000,355500,157501,56689341500,84240000000000,234000000,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,1014000,1,13000,1.3,1011000,1037000,1005000,65572,66798297000,72170436000000,71174000,STK
4,005380,KR7005380001,현대차,KOSPI,,208500,1,2000,0.97,207500,210000,206500,829002,172551248500,43663275823500,209416191,STK
5,000270,KR7000270009,기아,KOSPI,,103000,1,2000,1.98,101900,103400,100700,852837,87235094000,40960281096000,397672632,STK
6,068270,KR7068270008,셀트리온,KOSPI,,180500,1,800,0.45,180100,181900,179300,429235,77457007800,38639029242000,214066644,STK
7,005935,KR7005931001,삼성전자우,KOSPI,,44200,1,200,0.45,43850,44400,43600,1245474,54724384370,36371592140000,822886700,STK
8,105560,KR7105560007,KB금융,KOSPI,,89400,1,500,0.56,89900,90000,88900,763118,68328880400,35181441016200,393528423,STK
9,035420,KR7035420009,NAVER,KOSPI,,204000,2,-500,-0.24,207000,211500,204000,552059,113808478000,32321149632000,158437008,STK
10,329180,KR7329180004,HD현대중공업,KOSPI,,314000,2,-13000,-3.98,329000,330000,313000,409426,131212544500,27874758424000,88773116,STK
11,055550,KR7055550008,신한지주,KOSPI,,50000,1,250,0.5,50200,50600,50000,931780,46799984100,25172266250000,503445325,STK
12,012330,KR7012330007,현대모비스,KOSPI,,253000,1,3000,1.2,252000,254000,248000,180373,45380680500,23527758782000,92995094,STK
13,005490,KR7005490008,POSCO홀딩스,KOSPI,,264000,1,6000,2.33,260500,266500,260500,241548,63630403500,21812835528000,82624377,STK
14,028260,KR7028260008,삼성물산,KOSPI,,122600,1,3200,2.68,120300,123600,119200,204983,24876660200,21796331518200,177784107,STK
15,138040,KR7138040001,메리츠금융지주,KOSPI,,110000,1,300,0.27,110200,111800,110000,224190,24819377600,20979212540000,190720114,STK
16,096770,KR7096770003,SK이노베이션,KOSPI,,127900,1,3300,2.65,125900,129100,125100,232749,29780161500,19317347850400,151034776,STK
17,012450,KR7012450003,한화에어로스페이스,KOSPI,,389000,2,-500,-0.13,392000,399500,386500,233188,91283377000,17731071629000,45581161,STK
18,051910,KR7051910008,LG화학,KOSPI,,246000,1,5500,2.29,242000,249000,241500,202927,49853788500,17365716378000,70592343,STK
19,009540,KR7009540006,HD한국조선해양,KOSPI,,241000,2,-7500,-3.02,249000,249500,240000,383842,93499155000,17056320956000,70773116,STK
20,032830,KR7032830002,삼성생명,KOSPI,,85200,2,-600,-0.7,86400,87300,85200,321609,27563890086,17040000000000,200000000,STK
21,011200,KR7011200003,HMM,KOSPI,,19170,1,1120,6.2,18240,19800,18090,5348748,101630233010,16889527138320,881039496,STK
22,086790,KR7086790003,하나금융지주,KOSPI,,58700,1,700,1.21,58600,59100,58000,1015794,59655468600,16861039656000,287240880,STK
23,006400,KR7006400006,삼성SDI,KOSPI,,239500,1,5500,2.35,235500,241500,234500,269163,64293263500,16469104935000,68764530,STK
24,000810,KR7000810002,삼성화재,KOSPI,,344500,2,-10500,-2.96,354000,356000,342500,128590,44498514500,16320631346500,47374837,STK
25,042660,KR7042660001,한화오션,KOSPI,,52900,2,-1800,-3.29,54700,57200,52500,8696943,476264052700,16209268542600,306413394,STK
26,259960,KR7259960003,크래프톤,KOSPI,,337000,2,-10000,-2.88,344000,346500,330000,172139,57828188000,16144549138000,47906674,STK
27,035720,KR7035720002,카카오,KOSPI,,36300,2,-150,-0.41,36800,37050,36150,1132733,41234931250,16104934847100,443662117,STK
28,010130,KR7010130003,고려아연,KOSPI,,759000,3,0,0.0,755000,779000,739000,83692,63354044000,15713791797000,20703283,STK
29,034020,KR7034020008,두산에너빌리티,KOSPI,,23950,1,1900,8.62,22550,24250,22500,30994505,738488636650,15341439446700,640561146,STK
30,267260,KR7267260008,HD현대일렉트릭,KOSPI,,401500,1,16500,4.29,389500,406000,389000,341830,136694686500,14472924702500,36047135,STK
31,066570,KR7066570003,LG전자,KOSPI,,86400,1,2100,2.49,85100,89300,84400,1309681,114454693400,14139171129600,163647814,STK
32,015760,KR7015760002,한국전력,KOSPI,,21000,2,-200,-0.94,21300,21400,20950,1066180,22504493550,13481245617000,641964077,STK
33,402340,KR7402340004,SK스퀘어,KOSPI,,100700,1,4700,4.9,97200,101600,95800,384420,38267301500,13448289239200,133548056,STK
34,033780,KR7033780008,KT&G,KOSPI,,105200,2,-600,-0.57,107000,107200,104800,101054,10641885800,13188134684400,125362497,STK
35,042700,KR7042700005,한미반도체,KOSPI,,126100,1,12500,11.0,114900,127000,114900,3361830,411166465500,12183058059900,96614259,STK
36,024110,KR7024110009,기업은행,KOSPI,,14980,1,190,1.28,14880,15040,14860,867843,12990307240,11945439517620,797425869,STK
37,316140,KR7316140003,우리금융지주,KOSPI,,15800,1,160,1.02,15740,15910,15700,1866289,29527757572,11732945715800,742591501,STK
38,017670,KR7017670001,SK텔레콤,KOSPI,,54500,2,-400,-0.73,55000,55200,54200,711224,38775496300,11706057888500,214790053,STK
39,010140,KR7010140002,삼성중공업,KOSPI,,13300,2,-370,-2.71,13670,13810,13230,10738230,145265659430,11704000000000,880000000,STK
40,003550,KR7003550001,LG,KOSPI,,74000,1,1200,1.65,73400,74200,72500,116438,8563984600,11640273482000,157300993,STK
41,030200,KR7030200000,KT,KOSPI,,45550,2,-450,-0.98,46500,46700,45350,589499,27294606466,11479587751750,252021685,STK
42,003670,KR7003670007,포스코퓨처엠,KOSPI,,145400,1,5000,3.56,141500,147000,141500,428875,62030706800,11263152188000,77463220,STK
43,034730,KR7034730002,SK,KOSPI,,145800,1,1300,0.9,145900,146800,143800,63806,9289839800,10570894097400,72502703,STK
44,000100,KR7000100008,유한양행,KOSPI,,129400,2,-2500,-1.9,133000,135000,129300,1105335,145595746400,10379052881600,80209064,STK
