,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,기술성장기업부,342000,1,17000,5.23,329000,346000,327000,756204,257644004000,18235039176000,53318828,KSQ
1,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,130600,1,4500,3.57,126800,132400,126800,855089,111217970900,12772855526400,97801344,KSQ
2,028300,KR7028300002,HLB,KOSDAQ,중견기업부,79600,2,-700,-0.87,79800,81400,79600,660169,52957170500,10458439666800,131387433,KSQ
3,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,62900,1,2000,3.28,61700,62900,61300,717929,44678154500,8374401586000,133138340,KSQ
4,277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,253000,2,-7500,-2.88,263500,269000,251000,570135,146268550000,4908164074000,19399858,KSQ
5,141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,118400,2,-1500,-1.25,120900,123300,118400,565002,68061321400,4334664019200,36610338,KSQ
6,000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,170700,1,7100,4.34,169600,174800,162500,938445,159176697600,4004190470400,23457472,KSQ
7,214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,52900,3,0,0.0,53400,53500,52500,70988,3758246000,3465249361100,65505659,KSQ
8,058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,219500,1,1000,0.46,221000,223500,216500,103154,22696503000,3345700215000,15242370,KSQ
9,145020,KR7145020004,휴젤,KOSDAQ GLOBAL,우량기업부,248000,1,1000,0.4,254500,259500,246000,76889,19239394000,3125800184000,12604033,KSQ
10,348370,KR7348370008,엔켐,KOSDAQ,벤처기업부,139900,1,100,0.07,139800,142800,138500,231124,32394655800,2953320477500,21110225,KSQ
